Supplement	ID	Title	URL	Source	Type	Year	Educational Notes
antioxidants	antiox-003	Vitamins E and C in the Prevention of Prostate and Total Cancer in Men: The Physicians’ Health Study II, a Randomized Controlled Trial	https://pmc.ncbi.nlm.nih.gov/articles/PMC2774210/	PMC	RCT	2008	"- A large-scale, long-term randomized controlled trial (RCT) on the effect of Vitamin E and C supplementation on cancer prevention in men.
- Found that neither Vitamin E nor Vitamin C had a significant effect on the incidence of prostate cancer or total cancer events.
- This study is a key piece of evidence suggesting that general antioxidant supplementation may not be effective for cancer prevention in healthy populations."
arginine	arg-001	L-arginine supplementation and risk factors of cardiovascular diseases in healthy men: a double-blind randomized clinical trial	https://pmc.ncbi.nlm.nih.gov/articles/PMC5510020/	PMC	RCT	2017	"- A double-blind randomized clinical trial on L-arginine supplementation in healthy men.
- Found that L-arginine significantly decreased fasting blood sugar and improved lipid profile (TG, cholesterol, LDL, HDL) compared to placebo.
- No significant changes were found in systolic or diastolic blood pressure."
arginine	arg-003	Effect of l-Arginine Supplementation on Blood Pressure in Adults: A Systematic Review and Dose–Response Meta-analysis of Randomized Clinical Trials	https://pmc.ncbi.nlm.nih.gov/articles/PMC9340976/	PMC	meta-analysis	2021	"- A systematic review and dose-response meta-analysis of RCTs on L-arginine and blood pressure.
- Found significant decreases in both systolic (SBP) and diastolic blood pressure (DBP) after L-arginine supplementation.
- Identified an effective dosage of L-arginine supplementation to be ≥4 g/d for SBP reduction."
omega-3-fatty-acids	o3fa-004	Marine n−3 Fatty Acids and Prevention of Cardiovascular Disease and Cancer	https://www.nejm.org/doi/full/10.1056/NEJMoa1811403	NEJM	RCT	2018	"- A large-scale, randomized, placebo-controlled trial (VITAL) on marine n-3 fatty acids (1g/day) for primary prevention of cardiovascular disease (CVD) and cancer.
- Found that n-3 fatty acid supplementation did not result in a lower incidence of major CVD events or cancer than placebo in the general population.
- A key finding for consumer education, as it contradicts common public perception about the benefits of fish oil for primary prevention."
vitamin-d	vd-006	Effects of vitamin D supplementation on musculoskeletal health: a systematic review, meta-analysis, and trial sequential analysis	https://www.thelancet.com/journals/landia/article/PIIS2213-8587(18)30370-X/fulltext	The Lancet Diabetes & Endocrinology	meta-analysis	2019	"- A systematic review and meta-analysis on vitamin D supplementation for musculoskeletal health in adults.
- Concluded that the statistically significant effects of vitamin D supplements on bone density were not clinically important.
- Stated that the evidence that calcium supplementation with or without vitamin D reduces fractures is weak and inconsistent."
vitamin-d	vd-007	Impact of vitamin D supplementation on disease activity and pain management in rheumatoid arthritis: a randomized double-blinded controlled study	https://pmc.ncbi.nlm.nih.gov/articles/PMC12247244/	PMC	RCT	2025	"- A randomized double-blinded controlled study on the effect of Vitamin D (4000 IU/day) in patients with Rheumatoid Arthritis (RA).
- Found that Vitamin D supplementation significantly improved pain reduction and disease activity (DAS28 score) after six months.
- Suggests a potential immunomodulatory role for high-dose Vitamin D in managing RA symptoms."
vitamin-d	vd-008	Effects of Supplemental Vitamin D on Bone Health Outcomes in Women and Men in the VITamin D and OmegA‐3 TriaL (VITAL)	https://academic.oup.com/jbmr/article/35/5/883/7516653	Journal of Bone and Mineral Research	RCT	2020	"- A large-scale randomized controlled trial (VITAL) on Vitamin D3 (2000 IU/day) for bone health.
- Found that Vitamin D3 supplementation had no effect on 2-year changes in bone mineral density (aBMD) at major sites (spine, hip) in the overall population.
- A small benefit was observed in a subgroup with very low baseline Vitamin D levels, suggesting that supplementation may only be beneficial for those who are deficient."
vitamin-d	vd-009	Vitamin D supplementation to prevent acute respiratory infections: systematic review and meta-analysis of stratified aggregate data	https://www.sciencedirect.com/science/article/pii/S2213858724003486	The Lancet Diabetes & Endocrinology	meta-analysis	2025	"- An updated systematic review and meta-analysis of RCTs on Vitamin D supplementation for the prevention of acute respiratory infections (ARI).
- Found no statistically significant protective effect of Vitamin D supplementation against ARI overall (OR 0.94 [95% CI 0.88–1.00], p=0.057).
- Suggests that the overall evidence does not support the use of Vitamin D supplementation to prevent ARI in the general population."
vitamin-d	vd-010	Efficacy of vitamin D supplementation on glycaemic control in type 2 diabetes: An updated systematic review and meta‐analysis of randomized controlled trials	https://dom-pubs.onlinelibrary.wiley.com/doi/full/10.1111/dom.15941	Diabetes, Obesity and Metabolism	meta-analysis	2024	"- An updated systematic review and meta-analysis of RCTs on Vitamin D supplementation for glycaemic control in Type 2 Diabetes (T2D).
- Found that Vitamin D supplementation significantly reduced fasting blood glucose (FBG), HbA1c, HOMA-IR, and fasting insulin levels in T2D patients.
- The effects were most prominent when Vitamin D was given in a short-term, high dosage to patients with a Vitamin D deficiency, who were overweight, or had an HbA1c of 8% or higher at baseline."
omega-3-fatty-acids	o3fa-005	Associations of Plasma Omega-3 Fatty Acid Levels and Reported Fish Oil Supplement Use with Depression and Anxiety: A Cross-Sectional Analysis from the United Kingdom Biobank	https://www.sciencedirect.com/science/article/pii/S0022316625006807	The Journal of Nutrition	observational-study	2025	"- A large cross-sectional analysis from the UK Biobank on Omega-3 levels and depression/anxiety.
- Found that higher plasma Omega-3 levels were inversely associated with a history of both depression and anxiety (15%-33% lower risk).
- Fish oil supplement use was also associated with a lower risk for recent anxiety (20% lower risk)."
probiotics	prob-004	An evidence-based update on the diagnosis and management of irritable bowel syndrome	https://www.tandfonline.com/doi/full/10.1080/17474124.2025.2455586	Expert Review of Gastroenterology & Hepatology	review	2025	"- An expert review on the diagnosis and management of Irritable Bowel Syndrome (IBS).
- Mentions that probiotics may be beneficial for IBS symptoms, but the quality of evidence is poor for specific strains and formulations.
- Highlights that psychological therapies (CBT, hypnotherapy) are effective for persistent symptoms."
omega-3-fatty-acids	o3fa-006	Omega-3 Fatty Acids for the Management of Hypertriglyceridemia: A Science Advisory From the American Heart Association	https://www.ahajournals.org/doi/10.1161/CIR.0000000000000709	Circulation (AHA)	science-advisory	2019	"- A science advisory from the American Heart Association (AHA) on the use of prescription Omega-3 Fatty Acids (n-3 FAs) for hypertriglyceridemia.
- Concludes that prescription n-3 FAs (EPA+DHA or EPA-only) at a dose of 4 g/d are an effective and safe option for reducing triglycerides (by ≥30%) as monotherapy or as an adjunct to statins.
- Notes that the use of EPA-only (Vascepa) for improving atherosclerotic cardiovascular disease risk in patients with hypertriglyceridemia is supported by a 25% reduction in major adverse cardiovascular events in the REDUCE-IT trial."
probiotics	prob-005	Probiotics reduce negative mood over time: the value of daily self-reports in detecting effects	https://www.nature.com/articles/s44184-025-00123-z	npj Mental Health Research	RCT	2025	"- A randomized, double-blind, placebo-controlled study in 88 healthy volunteers on the effects of a multispecies probiotic on emotion and mood.
- Found clear evidence that probiotics reduce negative mood, starting after two weeks, based on daily monitoring.
- Concludes that probiotics can benefit mental health in the general population, especially when using sensitive daily monitoring methods."
creatine	crea-004	Creatine supplementation for treating symptoms of depression: a systematic review and meta-analysis	https://www.cambridge.org/core/journals/british-journal-of-nutrition/article/abs/creatine-supplementation-for-treating-symptoms-of-depression-a-systematic-review-and-metaanalysis/32402D649A44771955050ED518B6E564	British Journal of Nutrition	meta-analysis	2025	"- A systematic review and meta-analysis of 11 trials (1093 participants) on creatine supplementation for symptoms of depression.
- Found a small-to-moderate benefit for individuals with depression, but the average effect was not clinically important (below the minimal important difference of 3.0 points on the Hamilton Depression Rating Scale).
- Concluded that the evidence is very uncertain and larger, more rigorous trials are required to draw definitive conclusions."
omega-3-fatty-acids	o3fa-007	Impact of omega-3 fatty acids on hypertriglyceridemia, lipidomics, and gut microbiome in patients with type 2 diabetes	https://www.sciencedirect.com/science/article/pii/S2666634024003064	Med (Cell Press)	RCT	2025	"- A randomized, double-blind, placebo-controlled trial (309 participants) on the effects of fish oil on hypertriglyceridemia in patients with Type 2 Diabetes (T2D).
- Found that fish oil supplementation significantly reduced serum triglycerides and altered lipid profiles.
- Highlighted that baseline gut microbiota characteristics were more predictive of the triglyceride-lowering efficacy than phenotypic or lipidomic features."
creatine	crea-005	The effects of creatine supplementation on cognitive function in adults: a systematic review and meta-analysis	https://pubmed.ncbi.nlm.nih.gov/39070254/	Frontiers in Nutrition (PubMed)	meta-analysis	2024	"- A systematic review and meta-analysis of 16 RCTs (492 participants) on the effects of creatine monohydrate on cognitive function in adults.
- Found significant positive effects on memory, attention time, and information processing speed.
- Concluded that creatine monohydrate supplementation may confer beneficial effects on cognitive function in adults, but calls for larger, robust clinical trials."
ashwagandha	ashwa-001	The effect of Withania somnifera (Ashwagandha) on mental health symptoms in individuals with mental disorders: systematic review and meta-analysis	https://www.cambridge.org/core/journals/bjpsych-open/article/effect-of-withania-somnifera-ashwagandha-on-mental-health-symptoms-in-individuals-with-mental-disorders-systematic-review-and-metaanalysis/03E125C83F064624A208CF9142A6185D	BJPsych Open (Cambridge Core)	meta-analysis	2025	"- A systematic review and meta-analysis on Ashwagandha's effect on mental health symptoms in individuals with mental disorders.
- Found evidence supporting the effectiveness of Ashwagandha in improving anxiety, depression, stress, and sleep quality symptoms.
- Concluded that future trials should replicate the anxiety finding in larger samples and further clarify its role in depression and insomnia treatment."
ashwagandha	ashwa-002	Safety of 12-Months Administration of Ashwagandha (Withania somnifera) Standardized Root Extract in Healthy Adults: A Prospective, Observational Study	https://onlinelibrary.wiley.com/doi/10.1002/ptr.70096	Phytotherapy Research	observational-study	2025	"- A prospective, multi-center, observational clinical study (N=191) evaluating the long-term safety of Ashwagandha Root Extract (ARE) over 12 months.
- Found the extract to be safe with no clinically significant changes in liver enzymes (ALT/AST).
- Reported significant decreases in serum cortisol and significant increases in serum testosterone (free and total), along with enhanced health-related quality of life."
ashwagandha	ashwa-003	Ashwagandha (Withania somnifera) for the treatment and enhancement of mental and physical conditions: A systematic review of human trials	https://www.sciencedirect.com/science/article/abs/pii/S2210803321000142	Journal of Herbal Medicine	systematic-review	2021	"- A systematic review of 41 human trials on Ashwagandha's effects on mental and physical conditions.
- Found the strongest evidence for therapeutic efficacy is the alleviation of stress and anxiety symptoms.
- Concluded that Ashwagandha has a potentially large array of therapeutic applications, but further research with robust designs is required due to significant heterogeneity and small sample sizes in existing studies."
omega-3-fatty-acids	o3fa-008	Exploration of the optimized portrait of omega-3 polyunsaturated fatty acids in treating depression: A meta-analysis of randomized-controlled trials	https://www.sciencedirect.com/science/article/pii/S0165032725003441	Journal of Affective Disorders	meta-analysis	2025	"- A meta-analysis of RCTs on Omega-3 PUFAs for depression.
- Found Omega-3 PUFAs might be effective in treating depression, especially among Asians with mild to moderate depression and no other underlying medication.
- Suggested an optimal dose of 1000–1500 mg/day with an EPA/DHA ratio of 1:1 to 2:1 over 8 weeks."
omega-3-fatty-acids	o3fa-009	Omega-3 Polyunsaturated Fatty Acids and Cognitive Decline in Adults with Non-Dementia or Mild Cognitive Impairment: An Overview of Systematic Reviews	https://www.mdpi.com/2072-6643/17/18/3002	Nutrients	umbrella-review	2025	"- An umbrella review of 9 systematic reviews (SRs) incorporating 14 RCTs (26,881 participants) on Omega-3 PUFAs and cognitive decline.
- Found a statistically significant but modest improvement in MMSE scores (effect size: 0.16) in adults aged 40+.
- Concluded that n3-PUFA supplementation is a complementary approach to lifestyle-based strategies for cognitive health, but benefits appear modest."
probiotics	prob-006	The effect of probiotics on weight management in patients with severe obesity undergoing metabolic and bariatric surgery: a systematic review and meta-analysis	https://www.tandfonline.com/doi/full/10.1080/07853890.2025.2551284	Annals of Medicine	meta-analysis	2025	"- A systematic review and meta-analysis on the effect of probiotics on weight management after metabolic and bariatric surgery (MBS).
- Found no significant difference in weight loss or BMI reduction between probiotics and control groups.
- Concluded that current evidence does not support the routine use of probiotics for enhancing weight loss after MBS."
omega-3-fatty-acids	o3fa-010	Effect of omega-3 fatty acids on cardiovascular disease risk: A systematic review and meta-analysis with meta-regression	https://onlinelibrary.wiley.com/doi/full/10.1002/ctd2.70094	Clinical and Translational Discovery	meta-analysis	2025	"- A systematic review and meta-analysis of 42 studies (176,253 participants) on Omega-3 FA and cardiovascular disease (CVD) risk.
- Demonstrates that omega-3 FA are associated with a significant reduction in CVD mortality (p=.02), CVD disease (p=.03), and coronary heart disease (CHD) (p=.007).
- Aims to clarify the difference in efficacy between EPA monotherapy and an EPA+DHA combination regimen and explore dose-dependent relationships."
probiotics	prob-007	The efficacy of probiotics, prebiotics, and synbiotics on anxiety, depression, and sleep: a systematic review and meta-analysis of randomized controlled trials	https://link.springer.com/article/10.1186/s12888-025-07644-z	BMC Psychiatry	meta-analysis	2025	"- A systematic review and meta-analysis of 72 RCTs (6,097 participants) on the effect of probiotics, prebiotics, and synbiotics on mental health.
- Found significant reductions in depression (SMD = − 0.53) and anxiety (SMD = − 0.44) compared to placebo.
- Also showed improvement in sleep quality (SMD = − 0.39). Concluded that these supplements offer promising adjunctive treatments."
creatine	creat-006	The Effects of Creatine Supplementation on Upper- and Lower-Body Strength and Power: A Systematic Review and Meta-Analysis	https://www.mdpi.com/2072-6643/17/17/2748	Nutrients	meta-analysis	2025	"- A systematic review and meta-analysis on the effects of Creatine supplementation combined with resistance training on muscle strength and power.
- Found small but statistically significant improvements in squat strength, bench/chest press strength, vertical jump, and Wingate peak power compared to placebo.
- Subgroup analysis showed greater benefits in younger adults and males, with smaller or non-significant changes in older adults and females."
creatine	creat-007	The effects of creatine supplementation on cognitive function in adults: a systematic review and meta-analysis	https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2024.1424972/full	Frontiers in Nutrition	meta-analysis	2024	"- A systematic review and meta-analysis of 16 RCTs (492 participants) on the effect of creatine monohydrate on cognitive function.
- Found significant positive effects on memory and attention time, and significantly improved processing speed time.
- Concluded that creatine monohydrate supplementation may confer beneficial effects on cognitive function in adults, particularly for memory, but the certainty of evidence is low for most outcomes."
antioxidants	antiox-004	Association of antioxidants intake in diet and supplements with risk of Alzheimer’s disease: a systematic review and dose-response meta-analysis of prospective cohort studies	https://link.springer.com/article/10.1007/s40520-024-02893-6	Aging Clinical and Experimental Research	systematic review	2025	"- A systematic review and dose-response meta-analysis on the association between antioxidant intake (diet and supplements) and Alzheimer's disease (AD) risk.
- High dietary intake of Vitamin C (≥ 75 mg/d) was found to have a statistically significant impact on reducing the risk of AD.
- No significant association was found for Vitamin E or beta-carotene supplements with AD risk."
arginine	arg-004	Association of l-Arginine Supplementation with Markers of Endothelial Function in Patients with Cardiovascular or Metabolic Disorders: A Systematic Review and Meta-Analysis	https://www.mdpi.com/2072-6643/11/1/15	Nutrients	meta-analysis	2019	"- A systematic review and meta-analysis on the effects of L-Arginine supplementation on endothelial function in patients with cardiovascular or metabolic disorders.
- Overall, the results indicated that oral L-Arginine supplementation was not associated with improvements in selected variables (e.g., blood flow) in these patient groups.
- Sensitivity analysis showed a positive result in favor of arginine supplementation when studies with high heterogeneity were removed, suggesting the need for more consistent research."
ashwagandha	ash-005	Effects of Ashwagandha (Withania Somnifera) on stress and anxiety: A systematic review and meta-analysis	https://www.sciencedirect.com/science/article/abs/pii/S1550830724001691	Explore	meta-analysis	2024	"- A systematic review and meta-analysis of 9 studies (558 patients) on the effects of Ashwagandha on stress and anxiety.
- Found significant reductions in perceived stress, anxiety, and serum cortisol levels compared to placebo.
- Doses ranged from 125–600 mg daily for 30–90 days, with both root-only and root-and-leaf formulations showing benefits."
probiotics	prob-008	Additive efficacy and safety of probiotics in the treatment of ulcerative colitis: a systematic review and meta-analysis	https://link.springer.com/article/10.1007/s00394-023-03307-5	European Journal of Nutrition	meta-analysis	2024	"- A systematic review and meta-analysis on the additive efficacy of probiotics in the treatment of ulcerative colitis (UC).
- Found that for patients in clinical remission, the clinical relapse rates were significantly lower in the probiotic group compared to the placebo group (OR: 0.34).
- For patients with active UC, probiotics boosted the remission rate but failed to reach statistical significance, suggesting a stronger role for probiotics in maintaining remission."
ashwagandha	ash-006	Effect of Ashwagandha (Withania somnifera) extract on sleep: A systematic review and meta-analysis	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0257843	PLOS One	meta-analysis	2021	"- A systematic review and meta-analysis of 5 RCTs (400 participants) on the effect of Ashwagandha extract on sleep.
- Found a small but significant effect on overall sleep (SMD -0.59).
- The effects were more prominent in the subgroup of adults diagnosed with insomnia, with treatment dosage ≥600 mg/day and duration ≥8 weeks. Also improved mental alertness and anxiety."
arginine	arg-005	Effects of Arginine Supplementation on Athletic Performance Based on Energy Metabolism: A Systematic Review and Meta-Analysis	https://www.mdpi.com/2072-6643/12/5/1300	Nutrients	meta-analysis	2020	"- A systematic review and meta-analysis on the effects of Arginine (Arg) supplementation on athletic performance.
- Found that Arg supplementation could improve both aerobic (large effect size) and anaerobic (small effect size) performance tests.
- Recommended acute protocols of 0.15 g/kg body weight 60–90 min before exercise, and chronic protocols of 1.5–2 g/day for 4–7 weeks for aerobic performance."
arginine	arg-006	The Effect of Amino Acids on Wound Healing: A Systematic Review and Meta-Analysis on Arginine and Glutamine	https://www.mdpi.com/2072-6643/13/8/2498	Nutrients	meta-analysis	2021	"- A systematic review and meta-analysis on the effect of arginine and glutamine supplementation on wound healing.
- Found a significant effect of arginine supplementation on hydroxyproline content, a key component of collagen and wound healing.
- Glutamine supplementation showed significant positive effects on nitrogen balance, reduced inflammatory markers (IL-6, TNFα, CRP), and decreased length of hospital stay and patient mortality."
probiotics	prob-009	Probiotics’ Effects in the Treatment of Anxiety and Depression: A Comprehensive Review of 2014–2023 Clinical Trials	https://pmc.ncbi.nlm.nih.gov/articles/PMC10893170/	PMC	review	2024	"- A comprehensive review of clinical trials from 2014–2023 on the effects of probiotics on anxiety and depression.
- Concludes that while research is extensive, findings are inconsistent, suggesting the need for more targeted studies on specific strains and patient populations.
- Highlights that the probiotic combination of L. helveticus and B. longum has been shown to reduce psychological distress in healthy volunteers."
probiotics	prob-010	Effects of oral supplementation of probiotics on body weight and visceral fat in obese patients: a meta-analysis and systematic review	https://www.nature.com/articles/s41598-025-90820-8	Scientific Reports	meta-analysis	2025	"- A meta-analysis and systematic review on the effects of oral probiotics on body composition in obese patients.
- Found that probiotics significantly reduced body weight, waist circumference, and visceral fat content compared to the control group.
- Concluded that oral probiotics may be a potential nutritional treatment for obesity, though the effect on BMI was not significant."
creatine	creat-008	Creatine Supplementation in Depression: A Review of Mechanisms, Efficacy, Clinical Outcomes, and Future Directions	https://www.cureus.com/articles/301707-creatine-supplementation-in-depression-a-review-of-mechanisms-efficacy-clinical-outcomes-and-future-directions	Cureus	review	2024	"- A narrative review on the potential of creatine as an adjunctive therapy for depression.
- Creatine's mechanism involves enhancing brain energy metabolism and providing neuroprotection, which can alleviate mood disorders.
- Creatine supplementation reduces depressive symptoms, particularly when combined with selective serotonin reuptake inhibitors (SSRIs)."
creatine	creat-009	The Effects of Creatine Supplementation on Upper- and Lower-Body Strength and Power: A Systematic Review and Meta-Analysis	https://www.mdpi.com/2072-6643/17/17/2748	Nutrients	meta-analysis	2025	"- A systematic review and meta-analysis on the effects of creatine supplementation combined with resistance training on strength and power.
- Found small but statistically significant improvements in upper-body strength (bench/chest press), lower-body strength (squat), vertical jump, and Wingate peak power.
- Benefits were most pronounced in younger adults and males."
creatine	creat-010	Impact of creatine supplementation and exercise training in older adults: a systematic review and meta-analysis	https://pmc.ncbi.nlm.nih.gov/articles/PMC12506341/	PMC	meta-analysis	2025	"- A systematic review and meta-analysis on the effects of creatine and exercise training on older adults' physical performance and body composition.
- Found a significant positive effect on 1-Repetition Maximum (1RM) strength and a significant reduction in fat percentage.
- Creatine and exercise training did not have a significant effect on total body bone mineral density (BMD)."
antioxidants	antiox-004	Dietary and circulating vitamin C, vitamin E, β-carotene and risk of total cardiovascular mortality: a systematic review and dose-response meta-analysis of prospective observational studies	https://pubmed.ncbi.nlm.nih.gov/30630552/	PubMed	meta-analysis	2019	"- A systematic review and meta-analysis on the association between antioxidant intake/concentration and cardiovascular disease (CVD) mortality.
- Found that higher Vitamin C intake and higher circulating concentrations of Vitamin C, Vitamin E, and β-carotene are associated with a lower risk of CVD mortality.
- Circulating biomarkers of antioxidants were more strongly associated with risk of CVD mortality than dietary intakes."
antioxidants	antiox-005	Association Between Beta-Carotene Supplementation and Mortality: A Systematic Review and Meta-Analysis of Randomized Controlled Trials	https://pmc.ncbi.nlm.nih.gov/articles/PMC9343755/	PMC	meta-analysis	2022	"- A systematic review and meta-analysis of 31 randomized controlled trials (RCTs) on beta-carotene supplementation and mortality.
- Found that beta-carotene supplements had no preventive effect on all-cause, cancer, or cardiovascular mortality.
- Instead, beta-carotene supplementation significantly increased the risk of lung cancer mortality (RR 1.14) but decreased the risk of HIV-related mortality (RR 0.55)."
antioxidants	antiox-006	The Effect of Beta-Carotene on Cognitive Function: A Systematic Review	https://pmc.ncbi.nlm.nih.gov/articles/PMC10605009/	PMC	systematic-review	2023	"- A systematic review on the effect of beta-carotene on cognitive function.
- Found that beta-carotene consumption alone did not improve cognitive function in the short term, but only in a long-term intervention (mean duration of 18 years).
- Suggested that beta-carotene is most beneficial when combined with a multicomplex of other antioxidants like Vitamin E, Vitamin C, zinc, or selenium."
